section_name	answer_type	question_name	answer_choices	score	threshold	display_question
adl	enum	bathing			<14	How much has your bathing been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	dressing				How much has your dressing been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	grooming				How much has your grooming been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	feeding				How much has your feeding been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	walking_inside_home				How much has your walking inside the home been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	walking_outside_home				How much has your walking outside the home been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
	enum	bladder_bowel_control				How much has your bladder and bowel control been limited by your health condition?
			Not limited	0		
			Limited a little	1		
			Limited a lot	2		
iadls	enum	telephone			<16	How independently can you use the telephone?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	laundry				How independently can you do your laundry?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	shopping				How independently can you go shopping?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	meals				How independently can you prepare meals?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	housework				How independently can you do housework?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	medication				How independently can you handle your own medication?
			Without help	2		
			With some help	1		
			Unable to do so	0		
	enum	fallen				Have you ever fallen (lost your balance, tripped, or dropped to the ground without control)?
			Yes			
			No			
	enum	when_fall				When did you last fall?
			In the last week			
			In the last month			
			In the last 6 months			
			In the last year			
			More than 1 year ago			
	enum	where_fall				Where did you last fall?
			Home			
			Outside the home			
	enum	vision				How is your vision?
			Excellent			
			Good			
			Fair			
			Poor			
	enum	glasses				Do you wear glasses?
			Yes			
			No			
	enum	hearing				How is your hearing?
			Excellent			
			Good			
			Fair			
			Poor			
	enum	hearing_aid				Do you use a hearing aid?
			Yes			
			No			
	list	assistive_devices				Do you use any assistive devices to get around, such as a cane, walker, crutches or wheelchair?
			Cane			
			Walker			
			Crutches			
			Wheelchair			
			Prosthesis			
social	enum	help			<16	How often do you have someone to help you with daily chores if you were sick?
			All the time	5		
			Most of the time	4		
			Some of the time	3		
			A little of the time	2		
			Not at all	1		
	enum	emotional_support				How often do you have someone to turn to for suggestions about how to deal with a personal problem?
			All the time	5		
			Most of the time	4		
			Some of the time	3		
			A little of the time	2		
			Not at all	1		
	enum	enjoyable				How often do you have someone to do something enjoyable with?
			All the time	5		
			Most of the time	4		
			Some of the time	3		
			A little of the time	2		
			Not at all	1		
	enum	loved				How often do you have someone to love and make you feel wanted?
			All the time	5		
			Most of the time	4		
			Some of the time	3		
			A little of the time	2		
			Not at all	1		
	enum	interfere				During the past 4 weeks, how much of the time has your physical health or emotional problems interfered with your social activities (like visiting friends or relatives)?
			All the time	5		
			Most of the time	4		
			Some of the time	3		
			A little of the time	2		
			Not at all	1		
social_activity	enum	social_activity			>8	Compared to your usual level of social activity, has your social activity during the past 6 months changed because of a change in your physical or emotional condition?
			Much less	5		
			Somewhat less 	4		
			Same	3		
			Somewhat more	2		
			Much more 	1		
	enum	social_comparison				Compared to others your age, are your social activities more or less limited because of your physical health or emotional problems?
			Much less	5		
			Somewhat less 	4		
			Same	3		
			Somewhat more	2		
			Much more 	1		
weight	enum	weight_yes_no				In the past 6 months, has your weight changed?
			Lost weight			
			No change			
			Gained weight 			
			I'm not sure			
	enum	weight_loss			>10 lb decrease	How much weight have you lost?
			less than 5 pounds			
			between 5 and 10 pounds			
			between 11 and 20 pounds			
			more than 20 pounds			
	enum	weight_gain			>10 lb increase	How much weight have you gained?
			less than 5 pounds			
			between 5 and 10 pounds			
			between 11 and 20 pounds			
			more than 20 pounds			
distress	enum	satisfication			>1	Are you basically satisfied with your life?
			Yes	0		
			No	1		
	enum	dropped_activities				Have you dropped many of your activities and interests?
			Yes	1		
			No	0		
	enum	happy				Do you feel happy most of the time?
			Yes	0		
			No	1		
	enum	prefer_staying_home				Do you prefer to stay at home, rather than going out and doing new things?
			Yes	1		
			No	0		
medications	enum	has_medications				Are you taking any prescribed medications?
			Yes			
			No			
	enum	num_medications			>5	Approximately how many different prescribed medications do you take each day?
			One to four			
			Five to ten			
			More than ten			
	enum	supplements				Are you taking any supplements, including herbals and vitamins?
			Yes			
			No			
	enum	num_supplements				Approximately how many herbs, vitamins and supplements do you take each day?
			One to four			
			Five to ten			
			More than ten			
lifestyle	enum	martial_status				What is your current marital status?
			Married			
			Divorced			
			Domestic Partnership			
			Separated			
			Single			
			Widowed			
	enum	living_situation				What is your current living situation?
			Living alone			
			Living with family or partner			
			Living with someone else			
			Assisted living facility			
			Nursing home			
			Other			
	enum	education				What is your highest level of education?
			Less than high school diploma			
			High school diploma			
			Some college			
			College graduate			
			Advanced degree			
	enum	smoked_30				In the past 30 days, have you smoked cigarettes (even a single puff) or used other tobacco products?
			Not at all			
			At least once			
			Every day			
	enum	smoke_consider_quitting				Are you willing to consider quittying?
			Yes			
			Maybe			
			No			
	enum	alcohol				How many times in the past year have you had more than 4 drinks in a day if you are a woman, or 5 in a day if you are a man?
			Zero			
			One or more			
	enum	home_health				Do you have home care services now (such as a visiting nurse or home health aid)?
			Yes			
			No			
	enum	assessment_taker				Who completed this assessment?
			I did it myself			
			I did it with some help			
			Someone else did it for me			
